Job ID     : 162454
Node       : b-19-58
Start time : Fri Apr 10 10:00:28 EDT 2026
Starting training...
Device: cuda
  GPU: NVIDIA A100-SXM4-40GB
Loaded channel stats from /scratch/va2661/data/active_matter/stats.yaml
  Raw stats keys: ['mean', 'mean_delta', 'rms', 'rms_delta', 'std', 'std_delta']
  mean: ['1.0000', '-0.0000', '0.0000', '0.5018', '-0.0062', '-0.0062', '0.4982', '0.0000', '0.0000', '0.0000', '-0.0000']
  std : ['0.0030', '0.5772', '0.5671', '0.3201', '0.3311', '0.3311', '0.3202', '0.4073', '0.4322', '0.4322', '0.4073']
Dataset sizes  — train: 11,550  val: 1,584  test: 1,716
Batches/epoch  — train: 721  val: 99

Model parameters: encoder=23.46M  predictor=3.12M  total=26.58M

Starting training from epoch 0 / 50
  Epoch 003 [   0/721]  loss=0.2121  lr=1.80e-04  ema_tau=0.99604
  Epoch 003 [  20/721]  loss=0.1662  lr=1.82e-04  ema_tau=0.99604
  Epoch 003 [  40/721]  loss=0.1739  lr=1.83e-04  ema_tau=0.99604
  Epoch 003 [  60/721]  loss=0.1792  lr=1.85e-04  ema_tau=0.99604
  Epoch 003 [  80/721]  loss=0.2092  lr=1.87e-04  ema_tau=0.99604
  Epoch 003 [ 100/721]  loss=0.1913  lr=1.88e-04  ema_tau=0.99604
  Epoch 003 [ 120/721]  loss=0.1862  lr=1.90e-04  ema_tau=0.99604
  Epoch 003 [ 140/721]  loss=0.1995  lr=1.92e-04  ema_tau=0.99604
  Epoch 003 [ 160/721]  loss=0.1926  lr=1.93e-04  ema_tau=0.99604
  Epoch 003 [ 180/721]  loss=0.2050  lr=1.95e-04  ema_tau=0.99604
  Epoch 003 [ 200/721]  loss=0.2069  lr=1.97e-04  ema_tau=0.99604
  Epoch 003 [ 220/721]  loss=0.1904  lr=1.98e-04  ema_tau=0.99604
  Epoch 003 [ 240/721]  loss=0.1840  lr=2.00e-04  ema_tau=0.99604
  Epoch 003 [ 260/721]  loss=0.2043  lr=2.02e-04  ema_tau=0.99604
  Epoch 003 [ 280/721]  loss=0.1912  lr=2.03e-04  ema_tau=0.99605
  Epoch 003 [ 300/721]  loss=0.1885  lr=2.05e-04  ema_tau=0.99605
  Epoch 003 [ 320/721]  loss=0.2245  lr=2.07e-04  ema_tau=0.99605
  Epoch 003 [ 340/721]  loss=0.1990  lr=2.08e-04  ema_tau=0.99605
  Epoch 003 [ 360/721]  loss=0.1791  lr=2.10e-04  ema_tau=0.99605
  Epoch 003 [ 380/721]  loss=0.1487  lr=2.12e-04  ema_tau=0.99605
  Epoch 003 [ 400/721]  loss=0.2233  lr=2.13e-04  ema_tau=0.99605
  Epoch 003 [ 420/721]  loss=0.2116  lr=2.15e-04  ema_tau=0.99605
  Epoch 003 [ 440/721]  loss=0.1647  lr=2.17e-04  ema_tau=0.99605
  Epoch 003 [ 460/721]  loss=0.1699  lr=2.18e-04  ema_tau=0.99605
  Epoch 003 [ 480/721]  loss=0.1874  lr=2.20e-04  ema_tau=0.99605
  Epoch 003 [ 500/721]  loss=0.2051  lr=2.22e-04  ema_tau=0.99605
  Epoch 003 [ 520/721]  loss=0.2211  lr=2.23e-04  ema_tau=0.99605
  Epoch 003 [ 540/721]  loss=0.2314  lr=2.25e-04  ema_tau=0.99606
  Epoch 003 [ 560/721]  loss=0.1863  lr=2.27e-04  ema_tau=0.99606
  Epoch 003 [ 580/721]  loss=0.1736  lr=2.28e-04  ema_tau=0.99606
  Epoch 003 [ 600/721]  loss=0.1561  lr=2.30e-04  ema_tau=0.99606
  Epoch 003 [ 620/721]  loss=0.1913  lr=2.32e-04  ema_tau=0.99606
  Epoch 003 [ 640/721]  loss=0.2105  lr=2.33e-04  ema_tau=0.99606
  Epoch 003 [ 660/721]  loss=0.2057  lr=2.35e-04  ema_tau=0.99606
  Epoch 003 [ 680/721]  loss=0.2155  lr=2.37e-04  ema_tau=0.99606
  Epoch 003 [ 700/721]  loss=0.1888  lr=2.38e-04  ema_tau=0.99606
  Epoch 003 [ 720/721]  loss=0.1980  lr=2.40e-04  ema_tau=0.99606

Epoch 003 done | avg_loss=0.1954 | time=292.0s
  Val loss: 0.1990
  Checkpoint saved → /scratch/va2661/data/active_matter/checkpoints/jepa/latest.pt

  Epoch 004 [   0/721]  loss=0.1955  lr=2.40e-04  ema_tau=0.99606
  Epoch 004 [  20/721]  loss=0.1826  lr=2.42e-04  ema_tau=0.99606
  Epoch 004 [  40/721]  loss=0.2172  lr=2.43e-04  ema_tau=0.99606
  Epoch 004 [  60/721]  loss=0.1955  lr=2.45e-04  ema_tau=0.99607
  Epoch 004 [  80/721]  loss=0.2293  lr=2.47e-04  ema_tau=0.99607
  Epoch 004 [ 100/721]  loss=0.2122  lr=2.48e-04  ema_tau=0.99607
  Epoch 004 [ 120/721]  loss=0.1859  lr=2.50e-04  ema_tau=0.99607
  Epoch 004 [ 140/721]  loss=0.2064  lr=2.52e-04  ema_tau=0.99607
  Epoch 004 [ 160/721]  loss=0.2092  lr=2.53e-04  ema_tau=0.99607
  Epoch 004 [ 180/721]  loss=0.1931  lr=2.55e-04  ema_tau=0.99607
  Epoch 004 [ 200/721]  loss=0.1856  lr=2.57e-04  ema_tau=0.99607
  Epoch 004 [ 220/721]  loss=0.1770  lr=2.58e-04  ema_tau=0.99607
  Epoch 004 [ 240/721]  loss=0.1401  lr=2.60e-04  ema_tau=0.99607
  Epoch 004 [ 260/721]  loss=0.1738  lr=2.62e-04  ema_tau=0.99607
  Epoch 004 [ 280/721]  loss=0.1910  lr=2.63e-04  ema_tau=0.99608
  Epoch 004 [ 300/721]  loss=0.1423  lr=2.65e-04  ema_tau=0.99608
  Epoch 004 [ 320/721]  loss=0.1579  lr=2.67e-04  ema_tau=0.99608
  Epoch 004 [ 340/721]  loss=0.1568  lr=2.68e-04  ema_tau=0.99608
  Epoch 004 [ 360/721]  loss=0.2062  lr=2.70e-04  ema_tau=0.99608
  Epoch 004 [ 380/721]  loss=0.1801  lr=2.72e-04  ema_tau=0.99608
  Epoch 004 [ 400/721]  loss=0.1392  lr=2.73e-04  ema_tau=0.99608
  Epoch 004 [ 420/721]  loss=0.2090  lr=2.75e-04  ema_tau=0.99608
  Epoch 004 [ 440/721]  loss=0.1634  lr=2.77e-04  ema_tau=0.99608
  Epoch 004 [ 460/721]  loss=0.1750  lr=2.78e-04  ema_tau=0.99608
  Epoch 004 [ 480/721]  loss=0.2269  lr=2.80e-04  ema_tau=0.99609
  Epoch 004 [ 500/721]  loss=0.2524  lr=2.82e-04  ema_tau=0.99609
  Epoch 004 [ 520/721]  loss=0.2120  lr=2.83e-04  ema_tau=0.99609
  Epoch 004 [ 540/721]  loss=0.1896  lr=2.85e-04  ema_tau=0.99609
  Epoch 004 [ 560/721]  loss=0.2158  lr=2.87e-04  ema_tau=0.99609
  Epoch 004 [ 580/721]  loss=0.1767  lr=2.88e-04  ema_tau=0.99609
  Epoch 004 [ 600/721]  loss=0.1744  lr=2.90e-04  ema_tau=0.99609
  Epoch 004 [ 620/721]  loss=0.1733  lr=2.92e-04  ema_tau=0.99609
  Epoch 004 [ 640/721]  loss=0.1980  lr=2.93e-04  ema_tau=0.99609
  Epoch 004 [ 660/721]  loss=0.1802  lr=2.95e-04  ema_tau=0.99609
  Epoch 004 [ 680/721]  loss=0.2081  lr=2.97e-04  ema_tau=0.99610
  Epoch 004 [ 700/721]  loss=0.2045  lr=2.98e-04  ema_tau=0.99610
  Epoch 004 [ 720/721]  loss=0.1466  lr=3.00e-04  ema_tau=0.99610

Epoch 004 done | avg_loss=0.1903 | time=289.3s
  Val loss: 0.1610
  Checkpoint saved → /scratch/va2661/data/active_matter/checkpoints/jepa/latest.pt

  Epoch 005 [   0/721]  loss=0.2027  lr=3.00e-04  ema_tau=0.99610
  Epoch 005 [  20/721]  loss=0.1816  lr=3.00e-04  ema_tau=0.99610
  Epoch 005 [  40/721]  loss=0.1448  lr=3.00e-04  ema_tau=0.99610
  Epoch 005 [  60/721]  loss=0.2341  lr=3.00e-04  ema_tau=0.99610
  Epoch 005 [  80/721]  loss=0.1619  lr=3.00e-04  ema_tau=0.99610
  Epoch 005 [ 100/721]  loss=0.1688  lr=3.00e-04  ema_tau=0.99610
  Epoch 005 [ 120/721]  loss=0.1928  lr=3.00e-04  ema_tau=0.99610
  Epoch 005 [ 140/721]  loss=0.2196  lr=3.00e-04  ema_tau=0.99611
  Epoch 005 [ 160/721]  loss=0.1990  lr=3.00e-04  ema_tau=0.99611
  Epoch 005 [ 180/721]  loss=0.2019  lr=3.00e-04  ema_tau=0.99611
  Epoch 005 [ 200/721]  loss=0.1612  lr=3.00e-04  ema_tau=0.99611
  Epoch 005 [ 220/721]  loss=0.1517  lr=3.00e-04  ema_tau=0.99611
  Epoch 005 [ 240/721]  loss=0.2217  lr=3.00e-04  ema_tau=0.99611
  Epoch 005 [ 260/721]  loss=0.1794  lr=3.00e-04  ema_tau=0.99611
  Epoch 005 [ 280/721]  loss=0.2055  lr=3.00e-04  ema_tau=0.99611
  Epoch 005 [ 300/721]  loss=0.1591  lr=3.00e-04  ema_tau=0.99611
  Epoch 005 [ 320/721]  loss=0.1657  lr=3.00e-04  ema_tau=0.99612
  Epoch 005 [ 340/721]  loss=0.1524  lr=3.00e-04  ema_tau=0.99612
  Epoch 005 [ 360/721]  loss=0.2103  lr=3.00e-04  ema_tau=0.99612
  Epoch 005 [ 380/721]  loss=0.1949  lr=3.00e-04  ema_tau=0.99612
  Epoch 005 [ 400/721]  loss=0.1697  lr=3.00e-04  ema_tau=0.99612
  Epoch 005 [ 420/721]  loss=0.1366  lr=3.00e-04  ema_tau=0.99612
  Epoch 005 [ 440/721]  loss=0.1911  lr=3.00e-04  ema_tau=0.99612
  Epoch 005 [ 460/721]  loss=0.1905  lr=3.00e-04  ema_tau=0.99612
  Epoch 005 [ 480/721]  loss=0.2053  lr=3.00e-04  ema_tau=0.99613
  Epoch 005 [ 500/721]  loss=0.1381  lr=3.00e-04  ema_tau=0.99613
  Epoch 005 [ 520/721]  loss=0.1291  lr=3.00e-04  ema_tau=0.99613
  Epoch 005 [ 540/721]  loss=0.2338  lr=3.00e-04  ema_tau=0.99613
  Epoch 005 [ 560/721]  loss=0.1664  lr=3.00e-04  ema_tau=0.99613
  Epoch 005 [ 580/721]  loss=0.2100  lr=3.00e-04  ema_tau=0.99613
  Epoch 005 [ 600/721]  loss=0.1593  lr=3.00e-04  ema_tau=0.99613
  Epoch 005 [ 620/721]  loss=0.2229  lr=3.00e-04  ema_tau=0.99613
  Epoch 005 [ 640/721]  loss=0.1421  lr=3.00e-04  ema_tau=0.99614
  Epoch 005 [ 660/721]  loss=0.1760  lr=3.00e-04  ema_tau=0.99614
  Epoch 005 [ 680/721]  loss=0.2069  lr=3.00e-04  ema_tau=0.99614
  Epoch 005 [ 700/721]  loss=0.1939  lr=3.00e-04  ema_tau=0.99614
  Epoch 005 [ 720/721]  loss=0.1978  lr=3.00e-04  ema_tau=0.99614

Epoch 005 done | avg_loss=0.1824 | time=292.3s
  Collapse check — embed_std=0.0378  mean_cos_sim=0.2545
  Val loss: 0.1598
  Checkpoint saved → /scratch/va2661/data/active_matter/checkpoints/jepa/latest.pt

  Epoch 006 [   0/721]  loss=0.2302  lr=3.00e-04  ema_tau=0.99614
  Epoch 006 [  20/721]  loss=0.1927  lr=3.00e-04  ema_tau=0.99614
  Epoch 006 [  40/721]  loss=0.1993  lr=3.00e-04  ema_tau=0.99614
  Epoch 006 [  60/721]  loss=0.1538  lr=3.00e-04  ema_tau=0.99614
  Epoch 006 [  80/721]  loss=0.1613  lr=3.00e-04  ema_tau=0.99615
  Epoch 006 [ 100/721]  loss=0.1941  lr=3.00e-04  ema_tau=0.99615
  Epoch 006 [ 120/721]  loss=0.1880  lr=3.00e-04  ema_tau=0.99615
  Epoch 006 [ 140/721]  loss=0.1790  lr=2.99e-04  ema_tau=0.99615
  Epoch 006 [ 160/721]  loss=0.1515  lr=2.99e-04  ema_tau=0.99615
  Epoch 006 [ 180/721]  loss=0.2071  lr=2.99e-04  ema_tau=0.99615
  Epoch 006 [ 200/721]  loss=0.2503  lr=2.99e-04  ema_tau=0.99615
  Epoch 006 [ 220/721]  loss=0.1565  lr=2.99e-04  ema_tau=0.99615
  Epoch 006 [ 240/721]  loss=0.1740  lr=2.99e-04  ema_tau=0.99616
  Epoch 006 [ 260/721]  loss=0.1688  lr=2.99e-04  ema_tau=0.99616
  Epoch 006 [ 280/721]  loss=0.1602  lr=2.99e-04  ema_tau=0.99616
  Epoch 006 [ 300/721]  loss=0.1682  lr=2.99e-04  ema_tau=0.99616
  Epoch 006 [ 320/721]  loss=0.1579  lr=2.99e-04  ema_tau=0.99616
  Epoch 006 [ 340/721]  loss=0.1704  lr=2.99e-04  ema_tau=0.99616
  Epoch 006 [ 360/721]  loss=0.1813  lr=2.99e-04  ema_tau=0.99616
  Epoch 006 [ 380/721]  loss=0.1940  lr=2.99e-04  ema_tau=0.99617
  Epoch 006 [ 400/721]  loss=0.2005  lr=2.99e-04  ema_tau=0.99617
  Epoch 006 [ 420/721]  loss=0.1655  lr=2.99e-04  ema_tau=0.99617
  Epoch 006 [ 440/721]  loss=0.1520  lr=2.99e-04  ema_tau=0.99617
  Epoch 006 [ 460/721]  loss=0.2026  lr=2.99e-04  ema_tau=0.99617
  Epoch 006 [ 480/721]  loss=0.1841  lr=2.99e-04  ema_tau=0.99617
  Epoch 006 [ 500/721]  loss=0.1607  lr=2.99e-04  ema_tau=0.99617
  Epoch 006 [ 520/721]  loss=0.1863  lr=2.99e-04  ema_tau=0.99618
  Epoch 006 [ 540/721]  loss=0.1998  lr=2.99e-04  ema_tau=0.99618
